,label,talent_languages,talent_job_roles,talent_seniority,talent_salary_expectation,talent_degree,job_languages,job_job_roles,job_seniorities,job_max_salary,job_min_degree
1318,False,"[{'rating': 'C2', 'title': 'German'}, {'rating': 'C2', 'title': 'English'}]","['cto', 'devops-engineer', 'frontend-developer', 'copywriter', 'network-engineer']",junior,137080,none,"[{'title': 'German', 'rating': 'C1', 'must_have': True}]",['system-engineer'],"['midlevel', 'senior']",92000,apprenticeship
1802,False,"[{'rating': 'A2', 'title': 'German'}, {'rating': 'C1', 'title': 'English'}, {'rating': 'A2', 'title': 'Spanish'}]","['full-stack-developer', 'seo-sea-manager', 'customer-success-manager', 'data-engineer', '1st-2nd-3rd-level-support']",junior,137000,master,"[{'title': 'German', 'rating': 'C1', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]","['tech-lead', 'engineering-manager']","['midlevel', 'senior']",100000,none
1755,False,"[{'rating': 'B1', 'title': 'German'}, {'rating': 'B2', 'title': 'English'}, {'rating': 'A2', 'title': 'French'}]","['java-developer', 'sales-manager', 'data-analyst', 'customer-success-manager', 'security']",none,135000,bachelor,"[{'title': 'German', 'rating': 'C1', 'must_have': True}, {'title': 'English', 'rating': 'C1', 'must_have': False}]",['software-architect'],['midlevel'],90000,master
1153,False,"[{'rating': 'A1', 'title': 'German'}, {'rating': 'B2', 'title': 'English'}, {'rating': 'A2', 'title': 'French'}]","['scrum-master-agile-coach', 'network-engineer', 'sales-engineer', 'product-manager', 'java-developer']",junior,132480,master,"[{'title': 'German', 'rating': 'C1', 'must_have': True}]",['system-engineer'],"['midlevel', 'senior']",92000,apprenticeship
1665,False,"[{'rating': 'C2', 'title': 'German'}, {'rating': 'B2', 'title': 'English'}]","['copywriter', 'cmo-or-head-of-marketing', 'frontend-developer']",midlevel,132300,none,"[{'title': 'German', 'rating': 'C1', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],"['midlevel', 'senior']",90000,apprenticeship
1226,False,"[{'rating': 'C2', 'title': 'German'}, {'rating': 'B2', 'title': 'English'}]","['backend-developer', 'full-stack-developer', 'tech-lead', 'devops-engineer']",senior,131400,apprenticeship,"[{'title': 'German', 'rating': 'B2', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],"['midlevel', 'senior']",90000,apprenticeship
1918,False,"[{'rating': 'B1', 'title': 'German'}, {'rating': 'B2', 'title': 'English'}, {'rating': 'C2', 'title': 'Russian'}]","['frontend-developer', 'backend-developer', 'scrum-master-agile-coach', 'sales-manager', 'sales-team-lead']",none,129600,apprenticeship,"[{'title': 'German', 'rating': 'C2', 'must_have': True}, {'title': 'English', 'rating': 'C1', 'must_have': False}]",['consulting'],"['midlevel', 'senior']",90000,bachelor
1687,False,"[{'rating': 'A1', 'title': 'German'}, {'rating': 'B2', 'title': 'English'}]","['sales-team-lead', 'marketing-team-lead', 'engineering-manager', 'cloud-engineer', 'online-marketing-manager']",none,128700,bachelor,"[{'title': 'German', 'rating': 'B2', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],['midlevel'],90000,apprenticeship
1988,False,"[{'rating': 'C2', 'title': 'English'}, {'rating': 'C2', 'title': 'German'}, {'rating': 'B2', 'title': 'Spanish'}]","['backend-developer', 'full-stack-developer', 'tech-lead', 'engineering-manager', 'consulting']",none,128700,master,"[{'title': 'German', 'rating': 'B2', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],['midlevel'],90000,apprenticeship
1899,False,"[{'rating': 'A1', 'title': 'German'}, {'rating': 'C1', 'title': 'English'}]","['consulting', 'engineering-manager', 'devops-engineer', '1st-2nd-3rd-level-support', 'product-manager']",midlevel,127800,master,"[{'title': 'German', 'rating': 'B2', 'must_have': True}, {'title': 'English', 'rating': 'B2', 'must_have': False}]",['full-stack-developer'],['midlevel'],90000,apprenticeship
